_id,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
364,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2012,MALTEPE,40618,GİRNE,40.93778536,29.13796998
365,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1782,BÜYÜKÇEKMECE,40846,CUMHURİYET,41.01952776,28.62933529
366,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1622,SİLİVRİ,40922,CUMHURİYET,41.07092768,28.27675878
367,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1237,ÇATALCA,40898,KALEİÇİ,41.150833,28.45281339
368,2,Akaryakıt Lpg,5,BP,-99,Bilinmiyor,1,Aktif,1835,PENDİK,40631,KAYNARCA,40.86453919,29.27137385
369,1,Akaryakıt,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1166,BAKIRKÖY,40196,ATAKÖY 7-8-9-10. KISIM,40.99209548,28.83306635
370,1,Akaryakıt,12,Petrol Ofisi,36,Petro Gaz,1,Aktif,2015,TUZLA,40718,EVLİYA ÇELEBİ,40.84673672,29.29609942
371,1,Akaryakıt,10,Opet,-99,Bilinmiyor,1,Aktif,1186,BEYOĞLU,40279,İSTİKLAL,41.04123713,28.96729852
372,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40205,VATAN,41.03191942,28.90553774
373,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1325,EYÜPSULTAN,40379,GÖKTÜRK MERKEZ,41.17663651,28.89025116
374,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,1186,BEYOĞLU,40291,BOSTAN,41.03986787,28.97751708
375,1,Akaryakıt,2,Alpet,-99,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40849,KARAAĞAÇ,41.10824568,28.59256998
376,1,Akaryakıt,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,1835,PENDİK,40646,KAVAKPINAR,40.88608338,29.28652515
377,1,Akaryakıt,15,Total,-99,Bilinmiyor,1,Aktif,2048,ARNAVUTKÖY,40913,HADIMKÖY,41.15609625,28.63552097
378,1,Akaryakıt,14,Termopet Akaryakıt,-99,Bilinmiyor,1,Aktif,1336,GAZİOSMANPAŞA,40457,FEVZİ ÇAKMAK,41.06964438,28.90311374
379,1,Akaryakıt,9,LukOil,46,Akpet,1,Aktif,1622,SİLİVRİ,40936,KAVAKLI,41.0910949,28.3281697
380,2,Akaryakıt Lpg,-99,Bilinmiyor,-99,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40213,MURATPAŞA,41.05178542,28.91069202
381,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2052,ÇEKMEKÖY,40765,TAŞDELEN,41.03084799,29.23101092
382,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2050,BAŞAKŞEHİR,40584,ŞAHİNTEPE,41.06378245,28.74609478
383,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1835,PENDİK,40643,ESENYALI,40.85610836,29.2912771
